frame,DetObj#,x,y,z,v,snr,noise
0,0,0.059364814311265945,1.898756742477417,0.29682406783103943,0.0,215,609
0,1,2.3271007537841797,2.5099523067474365,-4.155536651611328,0.0,118,509
0,2,-0.49866440892219543,5.357933044433594,-0.166221484541893,0.0,118,509
0,3,-9.93766975402832,3.5876364707946777,-5.520927429199219,0.0,116,382
1,0,0.059364814311265945,1.898756742477417,0.29682406783103943,0.0,214,611
1,1,2.160879373550415,2.6544036865234375,-4.155536651611328,0.0,117,509
1,2,-0.664885938167572,5.342440128326416,0.0,0.0,117,509
1,3,7.919266223907471,2.0662178993225098,7.574949741363525,0.0,119,387
2,0,0.059364814311265945,1.898756742477417,0.29682406783103943,0.0,209,617
2,1,2.160879373550415,2.6544036865234375,-4.155536651611328,0.0,114,509
2,2,-3.4906511306762695,3.9754786491394043,0.9973288178443909,0.0,114,509
2,3,-0.18996740877628326,6.149815559387207,0.0,0.0,118,497
2,4,0.023745926097035408,0.1695845127105713,-0.34431591629981995,-0.1730983704328537,257,406
3,0,0.059364814311265945,1.898756742477417,0.29682406783103943,0.0,212,614
3,1,0.13060259819030762,4.219921588897705,0.26120519638061523,0.0,120,534
3,2,-0.664885938167572,5.319116592407227,0.49866440892219543,0.0,114,503
3,3,1.9946576356887817,2.7814743518829346,-4.155536651611328,0.0,114,503
3,4,-2.9919867515563965,4.3978424072265625,0.8311074376106262,0.0,114,503
3,5,0.18996740877628326,6.149815559387207,0.0,0.0,117,491
3,6,8.263582229614258,1.94808828830719,7.230633735656738,0.0,121,375
3,7,0.35618889331817627,2.278507947921753,-0.07123778015375137,0.07418501377105713,168,422
3,8,-0.9260911345481873,2.1120665073394775,-0.07123778015375137,0.07418501377105713,168,422
3,9,-0.42742669582366943,1.4032418727874756,-1.7809444665908813,0.07418501377105713,168,422
3,10,-0.10685666650533676,0.35993126034736633,-0.0831107422709465,0.12364169955253601,249,486
3,11,-0.13060259819030762,0.1674935221672058,-0.3205699920654297,-0.07418501377105713,177,502
3,12,-0.023745926097035408,0.36090901494026184,-0.13060259819030762,-0.07418501377105713,177,502
3,13,-0.17809444665908813,1.3419747352600098,-1.3653907775878906,-0.07418501377105713,209,427
3,14,0.11872962862253189,1.9181461334228516,0.059364814311265945,-0.07418501377105713,209,427
4,0,0.059364814311265945,1.898756742477417,0.29682406783103943,0.0,196,594
4,1,8.263582229614258,1.94808828830719,7.230633735656738,0.0,130,376
4,2,-8.263582229614258,4.203069686889648,-6.197686195373535,0.0,130,376
4,3,-9.93766975402832,3.5876364707946777,-5.520927429199219,0.0,131,369
4,4,-0.35618889331817627,2.2695815563201904,0.21371334791183472,-0.19782671332359314,180,409
4,5,-0.13060259819030762,0.3546045422554016,-0.07123778015375137,-0.1730983704328537,307,492
